id,horario_id,persona_id,fecha,created_at,updated_at
2145938,50010,1842048,2012-11-12,2012-11-12 23:09:53 UTC,2012-11-12 23:09:53 UTC
2147860,50010,1680268,2012-11-15,2012-11-15 16:44:06 UTC,2012-11-15 16:44:06 UTC
2147861,50010,1804905,2012-11-15,2012-11-15 16:44:06 UTC,2012-11-15 16:44:06 UTC
2147862,50010,1812330,2012-11-15,2012-11-15 16:44:06 UTC,2012-11-15 16:44:06 UTC
2147863,50010,1855350,2012-11-15,2012-11-15 16:44:06 UTC,2012-11-15 16:44:06 UTC
2147864,50010,1777724,2012-11-15,2012-11-15 16:44:06 UTC,2012-11-15 16:44:06 UTC
2147889,50010,1794962,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2147890,50010,50065,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2147891,50010,1804933,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2147892,50010,50737,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2147893,50010,50673,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2147894,50010,1758285,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2147895,50010,50950,2012-11-13,2012-11-15 17:23:24 UTC,2012-11-15 17:23:24 UTC
2149227,50010,1729032,2012-11-19,2012-11-20 18:46:21 UTC,2012-11-20 18:46:21 UTC
2149228,50010,50950,2012-11-19,2012-11-20 18:46:21 UTC,2012-11-20 18:46:21 UTC
2149229,50010,1842048,2012-11-19,2012-11-20 18:46:21 UTC,2012-11-20 18:46:21 UTC
2149230,50010,1855350,2012-11-19,2012-11-20 18:46:21 UTC,2012-11-20 18:46:21 UTC
2150709,50010,1854461,2012-11-22,2012-11-22 23:30:21 UTC,2012-11-22 23:30:21 UTC
2150710,50010,1729032,2012-11-22,2012-11-22 23:30:21 UTC,2012-11-22 23:30:21 UTC
2150711,50010,1694107,2012-11-22,2012-11-22 23:30:21 UTC,2012-11-22 23:30:21 UTC
2150712,50010,1694814,2012-11-22,2012-11-22 23:30:21 UTC,2012-11-22 23:30:21 UTC
2150713,50010,1734910,2012-11-22,2012-11-22 23:30:21 UTC,2012-11-22 23:30:21 UTC
2150714,50010,50073,2012-11-22,2012-11-22 23:30:21 UTC,2012-11-22 23:30:21 UTC
2151088,50010,1794962,2012-11-24,2012-11-24 03:04:43 UTC,2012-11-24 03:04:43 UTC
2151089,50010,1804933,2012-11-24,2012-11-24 03:04:43 UTC,2012-11-24 03:04:43 UTC
2151090,50010,1729032,2012-11-24,2012-11-24 03:04:43 UTC,2012-11-24 03:04:43 UTC
2151091,50010,50950,2012-11-24,2012-11-24 03:04:43 UTC,2012-11-24 03:04:43 UTC
2152402,50010,50737,2012-11-27,2012-11-27 23:11:23 UTC,2012-11-27 23:11:23 UTC
2152403,50010,1794962,2012-11-27,2012-11-27 23:16:02 UTC,2012-11-27 23:16:02 UTC
2154249,50010,1794962,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154250,50010,1680268,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154251,50010,50737,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154252,50010,50869,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154253,50010,50673,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154254,50010,1758285,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154255,50010,50202,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154256,50010,1674088,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154257,50010,1778350,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154258,50010,1672156,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154259,50010,50128,2012-11-30,2012-12-01 03:12:05 UTC,2012-12-01 03:12:05 UTC
2154369,50010,1732971,2012-11-29,2012-12-01 16:09:34 UTC,2012-12-01 16:09:34 UTC
2154370,50010,1729032,2012-11-29,2012-12-01 16:09:34 UTC,2012-12-01 16:09:34 UTC
2154371,50010,1804905,2012-11-29,2012-12-01 16:09:34 UTC,2012-12-01 16:09:34 UTC
2154372,50010,1855350,2012-11-29,2012-12-01 16:09:34 UTC,2012-12-01 16:09:34 UTC
2154373,50010,50073,2012-11-29,2012-12-01 16:09:34 UTC,2012-12-01 16:09:34 UTC
2155180,50010,1841184,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155181,50010,1732971,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155182,50010,1729032,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155183,50010,50057,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155184,50010,50950,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155185,50010,1842048,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155186,50010,1804905,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2155187,50010,1841138,2012-12-03,2012-12-04 00:17:00 UTC,2012-12-04 00:17:00 UTC
2157513,50010,1729032,2012-12-07,2012-12-07 03:23:58 UTC,2012-12-07 03:23:58 UTC
2157514,50010,1676887,2012-12-07,2012-12-07 03:23:58 UTC,2012-12-07 03:23:58 UTC
2158541,50010,1729032,2012-12-10,2012-12-10 23:26:55 UTC,2012-12-10 23:26:55 UTC
2158542,50010,50057,2012-12-10,2012-12-10 23:26:55 UTC,2012-12-10 23:26:55 UTC
2158543,50010,1842048,2012-12-10,2012-12-10 23:26:55 UTC,2012-12-10 23:26:55 UTC
2161531,50010,1841184,2012-12-17,2012-12-18 00:03:09 UTC,2012-12-18 00:03:09 UTC
